,PRODUCT_ID,SELLER_ID,STD_PRICE,MEAN_PRICE,VAR_PRICE,MIN_PRICE,MAX_PRICE,COUNT_ORDER,COUNT_VAR_PRICE
144,484bf1dff778a416389aafd0dee1cb11,9803a40e82e45418ab7fb84091af5231,,60.0,,60.0,60.0,1,1
145,56139431d72cd51f19eb9f7dae4d1617,b0f2a6122a90a93eb03e68653dd960e3,,45.9,,45.9,45.9,1,1
146,3cef8174403f4fdedbf24fa67fa9f132,46dc3b2cc0980fb8ec44634e21d2718e,,799.99,,799.99,799.99,1,1
147,003938452c98ff9ab28e9e7b4bfe97ab,1554a68530182680ad5c8b042c3ab563,,179.9,,179.9,179.9,1,1
148,8d6cb00151d423c52855385c89f0bae8,fe26f3ecb51a15e6d8335cd92da42562,,479.99,,479.99,479.99,1,1
149,5877301b00f95e3c6118738b293dfab3,d91fb3b7d041e83b64a00a3edfb37e4f,0.0,39.99,0.0,39.99,39.99,2,1
150,e0bbe6292471ff5ab3752414baf78111,fa1c13f2614d7b5c4749cbc52fecda94,,319.9,,319.9,319.9,1,1
151,dd768d259ee6054e0dadd66c8e2be0b6,1900267e848ceeba8fa32d80c1a5f5a8,0.0,29.99,0.0,29.99,29.99,12,1
152,fc2edee55f4118969f4dc49f7a717605,080199a181c46c657dc5aa235411be3b,0.0,179.49,0.0,179.49,179.49,3,1
153,b521fddf2c8a7e7d1791bfb3c1b2f278,b906dd0e57f282c7089171b6ed07982e,,110.0,,110.0,110.0,1,1
154,46b48281eb6d663ced748f324108c733,dd7ddc04e1b6c2c614352b383efe2d36,0.0,84.9,0.0,84.9,84.9,5,1
155,db7e6804f1a8206a7e51c9a741a09d9e,5b581417df4480f632484ba681e53944,17.32,179.0,300.0,159.0,189.0,3,2
156,50556c630443502c11acde1c320fe278,620c87c171fb2a6dd6e8bb4dec959fc6,0.0,129.9,0.0,129.9,129.9,3,1
157,88d2c501ec765f5d7e8038fa6aab0e62,1336efc61c316ddf92c899eb817f7cae,,24.99,,24.99,24.99,1,1
158,722fb67c17907e21734449c091420bf5,1e8c6a4c538f286aee9573239740a4b4,,110.0,,110.0,110.0,1,1
159,43b6d9e46e1e6b8ac743a1c31e462937,eeb6de78f79159600292e314a77cbd18,,879.0,,879.0,879.0,1,1
160,1ffe365aa7583189e63f2fa4f060b269,80e6699fe29150b372a0c8a1ebf7dcc8,,547.99,,547.99,547.99,1,1
161,3014e35fd70fce29095ced5cdc89f4ce,92eb0f42c21942b6552362b9b114707d,0.65,24.52,0.42,23.77,24.89,3,2
162,e869d449cc32881790ef9af9b4c670f8,17a053fcb14bd219540cbde0df490be0,,399.9,,399.9,399.9,1,1
163,a1b3a75aaaee5c9a683f2266c088f720,fa1c13f2614d7b5c4749cbc52fecda94,,399.9,,399.9,399.9,1,1
164,7fdbc1ecf5fdf5c98d9b14e110133eb3,a17f621c590ea0fab3d5d883e1630ec6,,17.33,,17.33,17.33,1,1
165,15b3d40f375c0645c1eed4ed1cd8e17a,643214e62b870443ccbe55ab29a4dccf,,23.99,,23.99,23.99,1,1
166,1cf39a397efa955b102a52ee7ec5531c,c35affa65afd250151285c5917fc1c8a,,499.99,,499.99,499.99,1,1
167,f9471562478eba8761bc985b968a0092,3785b653b1b82de85ab47dd139938091,10.64,58.66,113.25,54.9,85.0,8,2
168,e96bac5656eaec25f3d76757fa16d9d3,213b25e6f54661939f11710a6fddb871,,119.85,,119.85,119.85,1,1
169,16b06ede456b922e56fbb4b3818aa875,0ea22c1cfbdc755f86b9b54b39c16043,,34.9,,34.9,34.9,1,1
170,c7147724cd430269c6296fc758c0a086,5cbbd5a299cab112b7bf23862255e43e,,42.0,,42.0,42.0,1,1
171,dbb399a8be7395d5b136d49fcdce13df,3bb548e3cb7f70f28e3f11ee9dce0e59,,119.9,,119.9,119.9,1,1
172,ed46d1fbd7bf78ce79910c09fb892abb,0be8ff43f22e456b4e0371b2245e4d01,,109.0,,109.0,109.0,1,1
173,d458378a178cd7cae60052319cebf235,aba1721a889e04decc910aa13b768ef4,,131.0,,131.0,131.0,1,1
174,596363933adf57df745ecbc8afeec226,0691148aee60ca47977c187804f935ae,,73.88,,73.88,73.88,1,1
175,4473f3e5c65952b074ef987fa5c24662,ea8482cd71df3c1969d7b9473ff13abc,0.87,29.52,0.76,27.99,29.99,17,2
176,8c9faf6aabee9b2a30b83f92d786f6de,fc5a0d7a310a7a41abf86a458585ff2b,,117.9,,117.9,117.9,1,1
177,8e71b24c3e25a92fef6176120a67fac7,8e6d7754bc7e0f22c96d255ebda59eba,0.0,159.99,0.0,159.99,159.99,3,1
178,828fe032935d7c1901682e5b6cc076c2,8931a84a914b3fe9b1ddaa4d704947ca,,99.8,,99.8,99.8,1,1
179,19502a282608c5627fb32e22724727fc,b2ba3715d723d245138f291a6fe42594,,99.9,,99.9,99.9,1,1
180,df473738565b52f77b4e22b328b41576,01266d4c46afa519678d16a8b683d325,,23.4,,23.4,23.4,1,1
