,seller_id,count_orders,count_products,sum_price_orders,count_orders_delivered,count_review_score_5,count_review_score_4,count_review_score_3,count_review_score_2,count_review_score_1,count_early_delivery,count_late_delivery
5336,630008e0f062605a415d694489f6f82e,2,3,105.15,1,1,0,0,1,0,1,1
5337,58f1a6197ed863543e0136bdedb3fce2,44,45,6833.0,44,28,7,3,1,5,41,3
5338,df56d7b40d437f88407c5f78b63bc328,22,25,2791.28,22,13,4,2,0,3,21,1
5339,165fc07beebdcb6190fba8a06db2a449,50,64,17481.4,50,23,14,2,2,9,44,6
5340,0691148aee60ca47977c187804f935ae,47,53,5868.51,47,30,9,2,2,5,46,1
5341,cac876b37d3abcd6bd76caca30277996,27,33,2229.77,27,18,6,2,0,1,26,1
5342,9ac4f14370b1e24ddc58be041b7f99df,5,5,314.51,5,3,1,1,0,0,5,0
5343,70eea00b476a314817cefde4aad4f89a,108,114,31994.65,106,70,22,8,2,7,98,10
5344,282c7480173bb9c01dd41cc739fec010,5,8,4274.2,5,3,0,0,0,2,4,1
5345,c840d3fdbba0790404fdae73d253b253,9,14,4522.28,9,4,1,2,0,2,9,0
5346,4f40d2ed38d1cc945364a7cd202a82c7,1,1,319.9,0,0,0,0,0,1,0,1
5347,9cad4b68bb993ee401a3c5aaa2bc26dd,5,7,649.3,5,1,0,2,1,1,4,1
5348,dbbcfe2c8d026742134ac3e28ccde274,4,4,308.59,4,4,0,0,0,1,4,0
5349,2fdde51ad3e12f297da656d4fbd5d0b5,10,10,6252.0,9,7,3,0,0,0,9,1
5350,7040e82f899a04d1b434b795a43b4617,212,228,9738.2,208,86,48,20,21,37,181,31
5351,83a75eea11694e36e56dd0cb2240229a,3,3,487.0,3,3,0,0,0,0,3,0
5352,a1544b9ea0b2390e020537d4daa89049,8,8,841.2,8,4,3,1,0,1,7,1
5353,b8a0adc91af209270c2c725168eb00fd,6,6,281.4,6,4,0,1,0,1,6,0
5354,20b54c376b794ed028df09a3cd88e8dc,11,11,1342.95,7,3,2,2,0,4,4,7
5355,5415337f1863452476d42d9f14a16a61,1,1,44.9,1,0,0,1,0,0,1,0
5356,e0482f2c769468c3bbcd8a01e09d98c5,1,1,189.0,1,0,1,0,0,0,1,0
5357,3fe7120d6257285ac6a3ce7cb071ccec,2,2,199.98,2,0,1,1,0,0,2,0
5358,7daca0837f033a41a6f3428c18657533,7,7,1228.98,7,4,0,1,0,2,5,2
5359,d66c305afaec317ebee552073a674429,41,47,4886.46,38,30,3,5,0,4,37,4
5360,a5ff20ff766e7f50bd5066f33da14413,2,4,66.59,2,1,0,0,0,1,2,0
5361,adbe70ab2c97442046d393988c8d1d27,5,5,289.5,5,4,0,0,0,1,5,0
5362,74c7dec0a384d8a05950e629bd23bde9,5,5,187.68,4,3,0,0,1,1,4,1
5363,42bde9fef835393bb8a8849cb6b7f245,35,40,7703.0,34,21,7,4,1,2,33,2
5364,89bc797e2e29667aa035d4368f9b7f92,17,20,407.3,16,8,4,1,0,4,13,4
5365,f9eedec3129e8cc6b6429c42d0808c5b,2,2,789.8,2,1,1,0,0,0,2,0
5366,66922902710d126a0e7d26b0e3805106,151,156,14362.3,150,102,32,7,3,7,137,14
5367,32f1bb9dfa65bc7df5c0d9d95a616be4,5,6,276.39,4,3,0,0,0,2,3,2
5368,05f51e13da97139648b8125c31e5f51b,60,63,13769.01,57,37,12,0,0,11,48,12
5369,c43d924a0f1688ee9fae0efcd6f539d4,1,1,29.9,1,0,1,0,0,0,1,0
5370,91543f9849d68d023e17194926598543,4,6,834.0,4,2,2,0,0,0,4,0
5371,3ded4e2d5f135cb103e5949d7263d2dd,1,1,49.9,1,1,0,0,0,0,1,0
5372,7d456afc660226829370f3173d14520c,56,91,8338.25,55,38,11,3,1,4,52,4
5373,1900267e848ceeba8fa32d80c1a5f5a8,411,529,24982.53,406,203,76,51,20,64,360,51
5374,4ce6e5f6c52515177e18c1c9361d8677,1,1,226.6,0,0,0,1,0,0,0,1
5375,157c3e4b42f81ac4a44e8b1ca2fe9876,23,31,2548.5,23,11,3,4,1,4,21,2
5376,9fbd5666d8618fa571c4230fafa09bd6,1,1,79.9,1,1,0,0,0,0,1,0
5377,eb9cd5b35d95206585e2185318cb5c61,2,3,550.0,2,1,0,0,0,1,1,1
5378,08d2d642cf72b622b14dde1d2f5eb2f5,17,21,914.0,16,9,4,4,0,1,13,4
5379,525e75a6fb1454a2325ab1734bcec221,10,11,657.07,9,4,2,2,0,2,9,1
5380,0e982cff76cc0579f632cea8a0e38c9d,7,12,1307.34,6,4,0,2,1,0,6,1
5381,bc30de0d71bd6260b936a026b5cf7200,3,3,392.37,3,2,1,0,0,0,3,0
5382,014c0679dd340a0e338872e7ec85666a,14,15,7058.0,14,7,2,3,0,2,12,2
5383,78ba5933c21686d1c2f64669c8c459e7,2,2,191.8,2,1,2,0,0,0,2,0
5384,6ee85be3693ed79a8e80718743d80655,9,13,484.5,5,2,1,0,1,5,3,6
5385,63272377184e969942f7fff221be858d,2,2,149.7,2,2,0,0,0,0,2,0
5386,d5ba419e26d246a0719437cf37d9b46d,34,35,4061.4,33,19,5,4,0,6,27,7
5387,15aac934c58d886785ac1b17953ea898,25,26,4353.9,25,14,7,2,0,2,22,3
5388,0b36063d5818f81ccb94b54adfaebbf5,1,15,765.0,1,1,0,0,0,0,1,0
5389,f789d2c4f2c2eb38fc4373e7a4b35264,44,49,4864.24,44,28,6,4,1,5,41,3
5390,fcf16b7a8697e559f0123190bb30177d,3,7,1052.8,3,1,1,0,0,1,1,2
5391,880eda903e719a5f179f7e9fceb3a69d,1,1,249.0,0,0,0,0,0,1,0,1
